[29/Nov/2023 16:38:59] INFO [django.utils.autoreload:637] Watching for file changes with StatReloader
[29/Nov/2023 16:38:59] DEBUG [django.utils.autoreload:315] Waiting for apps ready_event.
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:327] Apps ready_event triggered. Sending autoreload_started signal.
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:281] Watching dir /workspace/PP5/profiles/templates with glob **/*.
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:281] Watching dir /workspace/PP5/products/templates with glob **/*.
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:281] Watching dir /workspace/PP5/home/templates with glob **/*.
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:281] Watching dir /workspace/PP5/bag/templates with glob **/*.
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:281] Watching dir /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/allauth/templates with glob **/*.
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:281] Watching dir /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/crispy_forms/templates with glob **/*.
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:281] Watching dir /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/django_social_share/templates with glob **/*.
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:281] Watching dir /workspace/PP5/checkout/templates with glob **/*.
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:281] Watching dir /workspace/PP5/templates/allauth with glob **/*.
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:281] Watching dir /workspace/PP5/templates with glob **/*.
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:281] Watching dir /workspace/PP5/locale with glob **/*.mo.
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:281] Watching dir /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/allauth/locale with glob **/*.mo.
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:281] Watching dir /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/allauth/account/locale with glob **/*.mo.
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:281] Watching dir /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/allauth/socialaccount/locale with glob **/*.mo.
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:281] Watching dir /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/allauth/socialaccount/providers/github/locale with glob **/*.mo.
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:281] Watching dir /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/allauth/socialaccount/providers/google/locale with glob **/*.mo.
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:281] Watching dir /workspace/PP5/store/locale with glob **/*.mo.
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:281] Watching dir /workspace/PP5/checkout/locale with glob **/*.mo.
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:281] Watching dir /workspace/PP5/products/locale with glob **/*.mo.
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:281] Watching dir /workspace/PP5/blog/locale with glob **/*.mo.
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:281] Watching dir /workspace/PP5/bag/locale with glob **/*.mo.
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:281] Watching dir /workspace/PP5/profiles/locale with glob **/*.mo.
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:281] Watching dir /workspace/PP5/home/locale with glob **/*.mo.
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:281] Watching dir /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/crispy_forms/locale with glob **/*.mo.
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:281] Watching dir /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/storages/locale with glob **/*.mo.
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:281] Watching dir /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/django_social_share/locale with glob **/*.mo.
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:379] File /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/stripe/api_resources/sigma/__init__.py first seen with mtime 1700229339.0
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:379] File /home/gitpod/.pyenv/versions/3.12.0/lib/python3.12/encodings/utf_8.py first seen with mtime 1697465126.0
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:379] File /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/allauth/account/migrations/0002_email_max_length.py first seen with mtime 1699720899.0
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:379] File /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/django/templatetags/__init__.py first seen with mtime 1699450980.0
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:379] File /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/django/utils/translation/trans_real.py first seen with mtime 1699450980.0
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:379] File /home/gitpod/.pyenv/versions/3.12.0/lib/python3.12/site-packages/typing_extensions.py first seen with mtime 1697465157.0
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:379] File /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/django/contrib/auth/forms.py first seen with mtime 1699450979.0
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:379] File /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/stripe/api_resources/issuing/cardholder.py first seen with mtime 1700229339.0
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:379] File /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/django/contrib/sessions/middleware.py first seen with mtime 1699450979.0
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:379] File /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/django/contrib/__init__.py first seen with mtime 1699450979.0
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:379] File /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/django/template/engine.py first seen with mtime 1699450980.0
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:379] File /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/django/contrib/messages/middleware.py first seen with mtime 1699450979.0
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:379] File /home/gitpod/.pyenv/versions/3.12.0/lib/python3.12/importlib/__init__.py first seen with mtime 1697465126.0
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:379] File /home/gitpod/.pyenv/versions/3.12.0/lib/python3.12/site-packages/charset_normalizer/constant.py first seen with mtime 1697465163.0
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:379] File /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/django/conf/locale/__init__.py first seen with mtime 1699450979.0
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:379] File /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/allauth/socialaccount/views.py first seen with mtime 1699720899.0
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:379] File /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/django/core/files/uploadhandler.py first seen with mtime 1699450980.0
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:379] File /home/gitpod/.pyenv/versions/3.12.0/lib/python3.12/unittest/__init__.py first seen with mtime 1697465126.0
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:379] File /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/django/forms/fields.py first seen with mtime 1699450980.0
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:379] File /home/gitpod/.pyenv/versions/3.12.0/lib/python3.12/json/encoder.py first seen with mtime 1697465126.0
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:379] File /home/gitpod/.pyenv/versions/3.12.0/lib/python3.12/functools.py first seen with mtime 1697465126.0
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:379] File /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/django/contrib/sites/admin.py first seen with mtime 1699450979.0
